name;creation_date;vc_type;city;country;office_address;description;funds_under_custody;website;sector;logo_url;twitter;facebook
360 Capital Partners;;perf;Paris;France;;;;;generalist;https://pbs.twimg.com/profile_images/705556159/prova2.png;https://twitter.com/360CP;https://www.facebook.com/360CapitalPartners/?fref=ts
Alven Capital;;perf;Paris;France;;;;;generalist;http://www.frenchweb.fr/wp-content/uploads/2013/12/alven-capital.jpg;https://twitter.com/alvencap;
